local_date_,Coordinate_Group_,Local_Time_Min,Max_Brightness,Mean_Brightness,Max_Confidence,Mean_Confidence,FRP,Day_Night,Time_Period,Total_Fire_Incidents,FRP_Bin
1/3/15,South-East,10:46:00,328.5,328.5,86,86,37.4,D,Morning,1,20-40
1/7/15,North-Central,13:37:00,322.2,321.79999999999995,81,81,28.3,D,Afternoon,2,20-40
1/12/15,North-Central,13:56:00,322.6,322.6,82,82,140,D,Afternoon,1,140-160
1/12/15,South-East,21:41:00,311,311,81,81,15.7,N,Night,1,0-20
1/13/15,North-Central,13:01:00,332.2,326.96666666666664,88,84.66666666666667,40.3,D,Afternoon,3,40-60
1/13/15,South-East,12:59:00,357.4,345.1,99,90.5,77.1,D,Afternoon,4,60-80
1/20/15,South-East,13:05:00,351.4,343.8666666666666,96,92.66666666666667,82,D,Afternoon,3,80-100
1/22/15,North-Central,12:56:00,358.1,358.1,91,91,105.4,D,Afternoon,1,100-120
1/24/15,North-Central,22:07:00,314.6,314.6,90,90,14.9,N,Night,1,0-20
1/24/15,South-East,22:06:00,324.2,324.2,100,100,26.4,N,Night,1,20-40
1/25/15,North-Central,13:26:00,330,330,87,87,28.1,D,Afternoon,1,20-40
1/29/15,North-Central,11:21:00,344.7,334.29999999999995,94,88.5,66.6,D,Morning,2,60-80
1/31/15,Central-East,12:48:00,393.3,393.3,87,87,223.8,D,Afternoon,1,220-240
2/2/15,South-East,10:58:00,331.6,331.6,86,86,53.8,D,Morning,1,40-60
2/3/15,South-East,13:18:00,339.1,334.75,89,85.5,69.9,D,Afternoon,2,60-80
2/4/15,South-East,10:46:00,356.6,333.25,98,87.5,163.9,D,Afternoon,4,160-180
2/5/15,Central-East,13:07:00,357.4,348.1666666666667,99,95,80.3,D,Afternoon,3,80-100
2/5/15,North-Central,11:27:00,376.1,347.25,100,93.33333333333333,374,D,Morning,6,360-380
2/5/15,South-East,13:05:00,352.3,342.05,96,89,67.8,D,Afternoon,2,60-80
2/6/15,Central-Central,10:33:00,326.7,326.7,83,83,44.8,D,Morning,1,40-60
2/6/15,Central-East,21:36:00,349.7,349.7,100,100,128.8,N,Night,1,120-140
2/6/15,South-East,10:33:00,374.2,355.3666666666666,100,95.33333333333333,129.7,D,Morning,3,120-140
2/7/15,South-East,12:53:00,347.4,347.4,93,93,45.5,D,Afternoon,1,40-60
2/8/15,South-East,10:21:00,383.6,383.6,100,100,177.4,D,Morning,1,160-180
2/10/15,Central-East,13:25:00,329.4,326.7,85,83,35.7,D,Afternoon,2,20-40
2/10/15,South-East,10:09:00,337.1,333.35,88,84.5,62.5,D,Morning,2,60-80
2/12/15,South-East,13:12:00,372.2,372.2,100,100,166.7,D,Afternoon,1,160-180
2/14/15,South-East,12:59:00,381,371.6,100,100,152.3,D,Afternoon,2,140-160
2/16/15,North-East,12:48:00,326.3,325.9,84,84,24.8,D,Afternoon,2,20-40
2/19/15,North-West,13:20:00,330.9,330.9,87,87,29.4,D,Afternoon,1,20-40
2/24/15,Central-Central,13:37:00,336.6,335,89,88.5,66.7,D,Afternoon,2,60-80
2/24/15,North-Central,13:38:00,325.6,325.6,84,84,50.7,D,Afternoon,1,40-60
