DATE,Temperature_Max,Relative_Humidity,Precipitation,Wind_Speed,Surface Soil Wetness,Root Zone Soil Wetness
1/1/15,9.37,43.38,0,2.54,0.56,0.59
1/2/15,9.87,49,0,1.73,0.56,0.59
1/3/15,11.43,53,0,1.6,0.56,0.59
1/4/15,14.44,55.62,0,1.7,0.56,0.59
1/5/15,19.9,53.69,0,2.07,0.56,0.59
1/6/15,22.22,50.94,0,2.3,0.55,0.59
1/7/15,22.19,54.31,0,2.12,0.55,0.59
1/8/15,19.25,48.19,0,1.84,0.55,0.59
1/9/15,15.05,61.75,0,1.59,0.55,0.59
1/10/15,14.13,73.06,0,1.56,0.55,0.59
1/11/15,15.27,79.5,0.03,1.73,0.55,0.59
1/12/15,13.15,84.69,0,1.8,0.55,0.59
1/13/15,15.62,56.44,0,2.31,0.55,0.58
1/14/15,15.86,41.94,0,2.12,0.55,0.58
1/15/15,16.05,38.88,0,1.91,0.55,0.58
1/16/15,17.7,44.06,0,1.77,0.55,0.58
1/17/15,18.05,58,0,1.77,0.55,0.58
1/18/15,19.1,45.94,0,1.51,0.54,0.57
1/19/15,17.72,49.44,0,1.83,0.54,0.57
1/20/15,13.19,61.44,0,1.68,0.54,0.57
1/21/15,16.75,48.88,0,2.3,0.54,0.57
1/22/15,15.85,38.38,0,2.01,0.54,0.57
1/23/15,19.07,45.06,0,2.16,0.53,0.56
1/24/15,21.55,34.81,0,2.91,0.52,0.56
1/25/15,23.87,42.44,0,2.94,0.52,0.56
1/26/15,22.03,54.94,0.1,2.24,0.52,0.55
1/27/15,12.58,82.69,3.14,1.52,0.55,0.56
1/28/15,16.94,63.31,0.01,1.85,0.53,0.56
1/29/15,17.33,58,0,2.03,0.53,0.56
1/30/15,16.15,65.19,0,1.78,0.53,0.55
1/31/15,18.56,49.19,0,2.27,0.52,0.55
2/1/15,19.68,36.06,0,1.94,0.52,0.55
2/2/15,20.19,40.38,0,1.61,0.52,0.55
2/3/15,21.16,37.44,0,1.79,0.52,0.55
2/4/15,22.98,31.56,0,1.68,0.52,0.55
2/5/15,21.36,41.75,0,2.67,0.52,0.55
2/6/15,19.43,45.19,1.25,3.38,0.52,0.55
2/7/15,15.36,83.62,30.24,2.62,0.66,0.59
2/8/15,17.64,83.56,14.49,3.38,0.61,0.6
2/9/15,16.12,72.81,0.57,1.84,0.59,0.62
2/10/15,18.01,49.12,0,1.82,0.58,0.61
2/11/15,20.46,42.12,0,2.22,0.58,0.61
2/12/15,22.73,46.38,0,2.22,0.57,0.6
2/13/15,22.8,44.19,0,2.22,0.57,0.6
2/14/15,22.52,44.19,0,1.91,0.56,0.6
2/15/15,23.92,46.44,0,2.08,0.56,0.59
2/16/15,21.79,48.81,0,1.98,0.55,0.59
2/17/15,19.44,55.44,0,1.99,0.55,0.59
2/18/15,20.96,55.56,0,1.81,0.55,0.59
2/19/15,20.14,53.44,0,2.05,0.55,0.59
2/20/15,20.57,54.56,0,1.85,0.55,0.59
2/21/15,14.99,69,0.02,1.66,0.55,0.58
2/22/15,9.7,78.81,10.23,1.54,0.59,0.59
2/23/15,9.47,66.25,4.08,1.7,0.59,0.6
2/24/15,16.75,42.81,0,2.42,0.56,0.6
2/25/15,18.78,49.31,0,1.91,0.56,0.59
2/26/15,18.12,61.5,0,1.96,0.55,0.59
2/27/15,11.66,85.25,0.92,2.09,0.56,0.59
2/28/15,7.72,82.38,1.06,1.55,0.56,0.59
3/1/15,10.73,72.56,1.87,1.41,0.56,0.59
3/2/15,7.26,81.81,3.2,1.16,0.57,0.59
3/3/15,12.35,68.69,0.05,2.15,0.56,0.59
3/4/15,14.4,48.44,0,2.45,0.55,0.59
3/5/15,18.02,38.56,0,2.13,0.55,0.59
3/6/15,21.69,34.75,0,2.12,0.55,0.59
3/7/15,22.02,35.44,0,2.3,0.55,0.58
3/8/15,21.08,43.25,0,2.23,0.54,0.58
3/9/15,22.97,38.81,0,2.54,0.54,0.58
3/10/15,22.62,35.38,0,2.08,0.54,0.57
3/11/15,13.94,67.75,0.36,1.81,0.54,0.57
3/12/15,22.97,53.94,0.01,1.87,0.53,0.57
3/13/15,24.23,44.25,0,2.37,0.53,0.56
3/14/15,24.08,37.88,0,2,0.52,0.56
3/15/15,23.84,41.25,0,1.98,0.52,0.56
3/16/15,22.1,45.5,0,1.96,0.52,0.55
3/17/15,17.85,60.31,0,1.45,0.52,0.55
3/18/15,19.85,62,0.04,1.78,0.52,0.55
3/19/15,24.98,40.12,0,2.39,0.52,0.55
3/20/15,22.49,35.19,0,1.73,0.52,0.55
3/21/15,20.14,41.62,0,1.73,0.52,0.55
3/22/15,18.23,65.44,0.17,1.77,0.52,0.54
3/23/15,16.94,66.5,0.02,2.23,0.51,0.54
3/24/15,17.95,63.94,0,2.71,0.51,0.54
3/25/15,22.43,53.88,0,2.35,0.51,0.54
3/26/15,24.9,42.31,0,2.58,0.5,0.53
3/27/15,26.58,36,0,1.88,0.5,0.53
3/28/15,25.35,42.31,0,2.16,0.49,0.52
3/29/15,25.78,42.31,0,2.28,0.49,0.52
3/30/15,26.68,38.38,0,2.45,0.49,0.52
3/31/15,21.6,41.69,0,2.47,0.49,0.52
4/1/15,18.24,41.94,0,2.39,0.49,0.52
4/2/15,18.87,43.69,0,2.65,0.48,0.52
4/3/15,19.9,32.5,0,2.34,0.48,0.51
4/4/15,20.06,34.69,0,2.25,0.48,0.51
4/5/15,14.37,60,0.07,2.16,0.48,0.51
4/6/15,12.58,60.44,0,1.59,0.48,0.51
4/7/15,9.01,76.44,10.48,3.28,0.54,0.52
4/8/15,14.23,62.69,0.16,2.3,0.51,0.52
4/9/15,15.94,39.62,0,2.24,0.49,0.52
4/10/15,19.74,38.56,0,2.38,0.49,0.52
4/11/15,20.35,47.69,0,2.7,0.48,0.52
4/12/15,24.27,44.69,0,2.22,0.48,0.51
4/13/15,25.02,38.75,0,2.5,0.48,0.51
4/14/15,17.73,45.31,0,2.82,0.48,0.51
4/15/15,21.15,28.19,0,3.12,0.48,0.5
4/16/15,22.48,27.94,0,3.12,0.47,0.5
4/17/15,23.9,31.75,0,2.66,0.46,0.5
4/18/15,25.54,32.38,0,2.52,0.45,0.49
4/19/15,26.26,35.12,0.06,2.64,0.44,0.49
4/20/15,26,43.81,0.08,2.44,0.43,0.49
4/21/15,21.18,60.31,0.01,1.95,0.42,0.49
4/22/15,21.07,64.88,0.25,1.69,0.42,0.49
4/23/15,18.44,68.5,1.88,2.08,0.43,0.49
4/24/15,16.67,64.06,1.45,2.23,0.45,0.49
4/25/15,13.5,75.81,15.56,2.26,0.55,0.51
4/26/15,20.95,55.75,0.05,2.75,0.49,0.52
4/27/15,26.73,36.12,0.07,2.84,0.48,0.51
4/28/15,26.83,36.62,0,2.4,0.48,0.51
4/29/15,26.83,42.38,0,2.05,0.47,0.51
4/30/15,26.89,37.25,0.01,2.01,0.46,0.5
5/1/15,28.16,33.19,0,2.51,0.45,0.5
5/2/15,25.26,28.81,0,2.68,0.43,0.5
5/3/15,24.36,30.81,0.03,2.52,0.42,0.49
5/4/15,24.3,42.31,0.03,2.23,0.41,0.49
5/5/15,22.67,40.69,0.02,2.18,0.41,0.49
5/6/15,20.23,44.19,0,2.2,0.41,0.49
5/7/15,11,68.12,3.23,2.67,0.43,0.49
5/8/15,14.01,71.31,4.35,1.6,0.46,0.49
5/9/15,22.21,57.31,0.16,2.33,0.45,0.5
5/10/15,24.57,34.12,0,2.3,0.43,0.49
5/11/15,22.6,37.94,0,2.28,0.42,0.49
5/12/15,18.8,43.62,0,2.12,0.41,0.49
5/13/15,16.22,42.56,0,1.82,0.41,0.49
5/14/15,10.35,75.75,4.36,1.69,0.45,0.49
5/15/15,14.58,72.69,1.54,2.23,0.49,0.5
5/16/15,19.44,60.81,0.35,2.2,0.47,0.5
5/17/15,16.37,64.94,1.45,1.91,0.47,0.49
5/18/15,17.65,58.38,1.98,1.99,0.48,0.5
5/19/15,19.55,59.31,1.05,1.97,0.46,0.5
5/20/15,19.26,61.62,1.16,1.94,0.46,0.5
5/21/15,17,65.19,1.45,1.79,0.46,0.5
5/22/15,14.58,77.06,2.44,2.26,0.47,0.5
5/23/15,18.2,74.5,1.97,2.02,0.47,0.5
5/24/15,23.1,58.88,0.23,2.27,0.45,0.5
5/25/15,24.76,50.62,0,2.08,0.44,0.5
5/26/15,26.14,45.5,0.02,2.38,0.42,0.49
5/27/15,27.64,41.62,0.19,2.3,0.41,0.49
5/28/15,27.82,32.06,0.09,2.22,0.4,0.49
5/29/15,30.61,28,0,2.46,0.39,0.48
5/30/15,32.74,25.25,0,2.09,0.38,0.48
5/31/15,31.5,29,0,2.73,0.37,0.48
6/1/15,25.46,37.75,0,2.34,0.37,0.48
6/2/15,25.83,42.5,0,2.52,0.37,0.48
6/3/15,25.93,42.19,0,2.48,0.36,0.48
6/4/15,22.88,46.75,0.68,1.99,0.36,0.48
6/5/15,26.04,44.06,0.52,2.16,0.36,0.48
6/6/15,26.72,45.62,0.67,2.23,0.36,0.48
6/7/15,30.89,37.25,0.08,2.39,0.36,0.48
6/8/15,35.62,28.94,0.23,2.8,0.35,0.48
6/9/15,30.03,37.19,0.18,2.34,0.35,0.47
6/10/15,23.57,57.94,2.47,2.2,0.38,0.48
6/11/15,30.19,52.44,0.23,2.02,0.38,0.48
6/12/15,33.77,41.44,0.18,1.98,0.37,0.48
6/13/15,35.56,33.56,0.41,2.66,0.36,0.47
6/14/15,34.49,25.06,0.18,2.44,0.35,0.47
6/15/15,33.56,17.62,0,2.45,0.34,0.47
6/16/15,32.26,17,0,2.31,0.32,0.47
6/17/15,33.48,16.25,0,2.16,0.3,0.46
6/18/15,33.44,16.56,0,2.63,0.28,0.46
6/19/15,34.77,13.19,0,2.3,0.26,0.46
6/20/15,35.85,12.44,0,2.27,0.24,0.46
6/21/15,32.15,13.81,0,2.17,0.23,0.46
6/22/15,32.97,12.38,0,2.41,0.22,0.46
6/23/15,32.17,20,0,2.42,0.21,0.46
6/24/15,33.94,25.19,0,2.49,0.2,0.46
6/25/15,36.79,18.5,0,2.34,0.2,0.46
6/26/15,36.76,16.44,0,2.12,0.19,0.46
6/27/15,33.67,20.56,0,2.27,0.18,0.46
6/28/15,34.62,30.69,0.03,1.9,0.18,0.46
6/29/15,35.15,29.31,0.34,2.05,0.18,0.46
6/30/15,37.42,27.19,0.32,2.18,0.18,0.46
7/1/15,33.01,37.19,0.37,2.14,0.18,0.46
7/2/15,31.56,48.88,2.3,1.71,0.21,0.46
7/3/15,34.73,38.81,0.15,2.36,0.24,0.46
7/4/15,35.53,33.31,0.4,2.43,0.23,0.46
7/5/15,33.34,35.38,0.08,2.17,0.23,0.46
7/6/15,32.56,37.62,0.2,2.34,0.23,0.46
7/7/15,29.98,37.5,0.06,2.46,0.22,0.46
7/8/15,27.22,40.25,0.41,2.38,0.22,0.46
7/9/15,20.83,57.19,6.34,1.55,0.31,0.46
7/10/15,24.92,56.88,0.86,2.24,0.41,0.47
7/11/15,27.69,48.25,0.02,2.22,0.4,0.47
7/12/15,28.25,43.62,0,1.93,0.38,0.47
7/13/15,30.13,37,0,2.34,0.36,0.47
7/14/15,29.69,36.19,0,2.41,0.34,0.47
7/15/15,29.82,31.44,0,2.05,0.32,0.46
7/16/15,32.39,29.19,0,2.2,0.3,0.46
7/17/15,33.19,25.62,0.01,2.16,0.28,0.46
7/18/15,32.58,31.25,1.69,2.79,0.27,0.46
7/19/15,30.5,49.38,0.92,2.21,0.33,0.46
7/20/15,29.01,53.06,1.99,1.41,0.35,0.47
7/21/15,31.58,45.62,1.17,1.98,0.37,0.47
7/22/15,29.82,39.62,1.28,2.53,0.38,0.47
7/23/15,28.68,35.44,0.16,2.02,0.35,0.47
7/24/15,29.67,30.56,0.01,2.31,0.33,0.46
7/25/15,30.78,26.19,0,2.2,0.3,0.46
7/26/15,30,27.62,0,2.48,0.29,0.46
7/27/15,31.07,25.25,0,2.57,0.27,0.46
7/28/15,34.66,20.44,0,2.75,0.26,0.46
7/29/15,37.3,18.06,0,2.61,0.24,0.46
7/30/15,36.01,25.06,0.11,1.88,0.23,0.46
7/31/15,34.9,30.75,0.79,1.41,0.23,0.46
8/1/15,33.22,31.44,1.55,2.32,0.25,0.46
8/2/15,32.94,29.62,0.01,2.03,0.26,0.46
8/3/15,31.83,29.69,0,1.88,0.24,0.46
8/4/15,30.26,33.06,0,1.85,0.23,0.46
8/5/15,31.8,30.06,0,1.66,0.23,0.46
8/6/15,29.34,28.5,0,1.84,0.22,0.46
8/7/15,29.84,34.38,0.22,2.2,0.22,0.46
8/8/15,30.26,37.19,0.03,2.43,0.22,0.46
8/9/15,31.53,30,0,2.27,0.21,0.46
8/10/15,29.87,38,0,2.26,0.2,0.46
8/11/15,29.51,33.94,0,1.9,0.2,0.46
8/12/15,31.32,28.38,0,2.27,0.2,0.46
8/13/15,31.34,28.31,0,2.02,0.2,0.46
8/14/15,32.34,30.56,0,2,0.2,0.46
8/15/15,35.59,19,0,2.46,0.19,0.46
8/16/15,36.07,16.44,0,2.2,0.18,0.46
8/17/15,34.47,17.75,0,2.11,0.18,0.46
8/18/15,33.84,18.31,0,2.22,0.17,0.46
8/19/15,33.9,21.38,0,2.09,0.17,0.45
8/20/15,32.55,22,0,1.71,0.16,0.45
8/21/15,30.98,25.19,0,1.88,0.16,0.45
8/22/15,31.01,26.12,0,1.9,0.16,0.45
8/23/15,32.73,27.5,0,2.01,0.16,0.45
8/24/15,32.98,26.38,0,2.37,0.16,0.45
8/25/15,33.65,19.62,0,2.18,0.16,0.45
8/26/15,34.48,18.44,0,2.34,0.16,0.45
8/27/15,34.49,21.75,0,2.44,0.16,0.45
8/28/15,34.62,25.56,0,2.33,0.15,0.45
8/29/15,31.2,35.06,0,2.17,0.15,0.45
8/30/15,28.89,38.88,0,2.26,0.15,0.45
8/31/15,30.08,32.12,0,2.21,0.15,0.45
9/1/15,30.39,27.75,0,1.84,0.15,0.45
9/2/15,28.03,31.62,0,1.84,0.15,0.45
9/3/15,26.57,38.81,0,1.96,0.15,0.45
9/4/15,25.21,33.44,0,2.28,0.15,0.45
9/5/15,25.65,17.69,0,2.19,0.15,0.45
