Date,Temperature_Max,Relative_Humidity,Precipitation,Wind_Speed,Surface Soil Wetness,Root Zone Soil Wetness,Coordinate_Group_,Local_Time_Min,Max_Brightness,Mean_Brightness,Max_Confidence,Mean_Confidence,FRP,Day_Night,Time_Period,Total_Fire_Incidents,FRP_Bin,Fire_Recorded
1/1/15,9.37,43.38,0,2.54,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/2/15,9.87,49,0,1.73,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/3/15,11.43,53,0,1.6,0.56,0.59,South-East,10:46:00,328.5,328.5,86,86,37.4,D,Morning,1,20-40,1
1/4/15,14.44,55.62,0,1.7,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/5/15,19.9,53.69,0,2.07,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/6/15,22.22,50.94,0,2.3,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/7/15,22.19,54.31,0,2.12,0.55,0.59,North-Central,13:37:00,322.2,321.79999999999995,81,81,28.3,D,Afternoon,2,20-40,1
1/8/15,19.25,48.19,0,1.84,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/9/15,15.05,61.75,0,1.59,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/10/15,14.13,73.06,0,1.56,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/11/15,15.27,79.5,0.03,1.73,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/12/15,13.15,84.69,0,1.8,0.55,0.59,North-Central,13:56:00,322.6,322.6,82,82,140,D,Afternoon,1,140-160,1
1/12/15,13.15,84.69,0,1.8,0.55,0.59,South-East,21:41:00,311,311,81,81,15.7,N,Night,1,0-20,1
1/13/15,15.62,56.44,0,2.31,0.55,0.58,North-Central,13:01:00,332.2,326.96666666666664,88,84.66666666666667,40.3,D,Afternoon,3,40-60,1
1/13/15,15.62,56.44,0,2.31,0.55,0.58,South-East,12:59:00,357.4,345.1,99,90.5,77.1,D,Afternoon,4,60-80,1
1/14/15,15.86,41.94,0,2.12,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/15/15,16.05,38.88,0,1.91,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/16/15,17.7,44.06,0,1.77,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/17/15,18.05,58,0,1.77,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/18/15,19.1,45.94,0,1.51,0.54,0.57,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/19/15,17.72,49.44,0,1.83,0.54,0.57,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/20/15,13.19,61.44,0,1.68,0.54,0.57,South-East,13:05:00,351.4,343.8666666666666,96,92.66666666666669,82,D,Afternoon,3,80-100,1
1/21/15,16.75,48.88,0,2.3,0.54,0.57,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/22/15,15.85,38.38,0,2.01,0.54,0.57,North-Central,12:56:00,358.1,358.1,91,91,105.4,D,Afternoon,1,100-120,1
1/23/15,19.07,45.06,0,2.16,0.53,0.56,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/24/15,21.55,34.81,0,2.91,0.52,0.56,North-Central,22:07:00,314.6,314.6,90,90,14.9,N,Night,1,0-20,1
1/24/15,21.55,34.81,0,2.91,0.52,0.56,South-East,22:06:00,324.2,324.2,100,100,26.4,N,Night,1,20-40,1
1/25/15,23.87,42.44,0,2.94,0.52,0.56,North-Central,13:26:00,330,330,87,87,28.1,D,Afternoon,1,20-40,1
1/26/15,22.03,54.94,0.1,2.24,0.52,0.55,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/27/15,12.58,82.69,3.14,1.52,0.55,0.56,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/28/15,16.94,63.31,0.01,1.85,0.53,0.56,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/29/15,17.33,58,0,2.03,0.53,0.56,North-Central,11:21:00,344.7,334.29999999999995,94,88.5,66.6,D,Morning,2,60-80,1
1/30/15,16.15,65.19,0,1.78,0.53,0.55,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
1/31/15,18.56,49.19,0,2.27,0.52,0.55,Central-East,12:48:00,393.3,393.3,87,87,223.8,D,Afternoon,1,220-240,1
2/1/15,19.68,36.06,0,1.94,0.52,0.55,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/2/15,20.19,40.38,0,1.61,0.52,0.55,South-East,10:58:00,331.6,331.6,86,86,53.8,D,Morning,1,40-60,1
2/3/15,21.16,37.44,0,1.79,0.52,0.55,South-East,13:18:00,339.1,334.75,89,85.5,69.9,D,Afternoon,2,60-80,1
2/4/15,22.98,31.56,0,1.68,0.52,0.55,South-East,10:46:00,356.6,333.25,98,87.5,163.9,D,Afternoon,4,160-180,1
2/5/15,21.36,41.75,0,2.67,0.52,0.55,Central-East,13:07:00,357.4,348.1666666666667,99,95,80.3,D,Afternoon,3,80-100,1
2/5/15,21.36,41.75,0,2.67,0.52,0.55,North-Central,11:27:00,376.1,347.25,100,93.33333333333331,374,D,Morning,6,360-380,1
2/5/15,21.36,41.75,0,2.67,0.52,0.55,South-East,13:05:00,352.3,342.05,96,89,67.8,D,Afternoon,2,60-80,1
2/6/15,19.43,45.19,1.25,3.38,0.52,0.55,Central-Central,10:33:00,326.7,326.7,83,83,44.8,D,Morning,1,40-60,1
2/6/15,19.43,45.19,1.25,3.38,0.52,0.55,Central-East,21:36:00,349.7,349.7,100,100,128.8,N,Night,1,120-140,1
2/6/15,19.43,45.19,1.25,3.38,0.52,0.55,South-East,10:33:00,374.2,355.3666666666666,100,95.33333333333331,129.7,D,Morning,3,120-140,1
2/7/15,15.36,83.62,30.24,2.62,0.66,0.59,South-East,12:53:00,347.4,347.4,93,93,45.5,D,Afternoon,1,40-60,1
2/8/15,17.64,83.56,14.49,3.38,0.61,0.6,South-East,10:21:00,383.6,383.6,100,100,177.4,D,Morning,1,160-180,1
2/9/15,16.12,72.81,0.57,1.84,0.59,0.62,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/10/15,18.01,49.12,0,1.82,0.58,0.61,Central-East,13:25:00,329.4,326.7,85,83,35.7,D,Afternoon,2,20-40,1
2/10/15,18.01,49.12,0,1.82,0.58,0.61,South-East,10:09:00,337.1,333.35,88,84.5,62.5,D,Morning,2,60-80,1
2/11/15,20.46,42.12,0,2.22,0.58,0.61,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/12/15,22.73,46.38,0,2.22,0.57,0.6,South-East,13:12:00,372.2,372.2,100,100,166.7,D,Afternoon,1,160-180,1
2/13/15,22.8,44.19,0,2.22,0.57,0.6,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/14/15,22.52,44.19,0,1.91,0.56,0.6,South-East,12:59:00,381,371.6,100,100,152.3,D,Afternoon,2,140-160,1
2/15/15,23.92,46.44,0,2.08,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/16/15,21.79,48.81,0,1.98,0.55,0.59,North-East,12:48:00,326.3,325.9,84,84,24.8,D,Afternoon,2,20-40,1
2/17/15,19.44,55.44,0,1.99,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/18/15,20.96,55.56,0,1.81,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/19/15,20.14,53.44,0,2.05,0.55,0.59,North-West,13:20:00,330.9,330.9,87,87,29.4,D,Afternoon,1,20-40,1
2/20/15,20.57,54.56,0,1.85,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/21/15,14.99,69,0.02,1.66,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/22/15,9.7,78.81,10.23,1.54,0.59,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/23/15,9.47,66.25,4.08,1.7,0.59,0.6,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/24/15,16.75,42.81,0,2.42,0.56,0.6,Central-Central,13:37:00,336.6,335,89,88.5,66.7,D,Afternoon,2,60-80,1
2/24/15,16.75,42.81,0,2.42,0.56,0.6,North-Central,13:38:00,325.6,325.6,84,84,50.7,D,Afternoon,1,40-60,1
2/25/15,18.78,49.31,0,1.91,0.56,0.59,Central-East,11:04:00,323.9,323.9,82,82,26.6,D,Morning,1,20-40,1
2/25/15,18.78,49.31,0,1.91,0.56,0.59,North-Central,11:03:00,350.2,337.2,96,89.5,68.8,D,Morning,2,60-80,1
2/25/15,18.78,49.31,0,1.91,0.56,0.59,South-East,11:04:00,355.2,339.35,98,89.5,147.8,D,Morning,4,140-160,1
2/26/15,18.12,61.5,0,1.96,0.55,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
2/27/15,11.66,85.25,0.92,2.09,0.56,0.59,North-Central,12:31:00,331.4,329.2,87,86,185.1,D,Afternoon,3,180-200,1
2/28/15,7.72,82.38,1.06,1.55,0.56,0.59,Central-East,13:12:00,329.9,329.9,87,87,27.2,D,Afternoon,1,20-40,1
3/1/15,10.73,72.56,1.87,1.41,0.56,0.59,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/2/15,7.26,81.81,3.2,1.16,0.57,0.59,Central-East,13:00:00,329.9,329.9,87,87,30.6,D,Afternoon,1,20-40,1
3/3/15,12.35,68.69,0.05,2.15,0.56,0.59,Central-Central,13:43:00,339.9,339.9,92,92,112.3,D,Afternoon,1,100-120,1
3/3/15,12.35,68.69,0.05,2.15,0.56,0.59,North-Central,13:44:00,337.3,337.3,90,90,83.7,D,Afternoon,1,80-100,1
3/4/15,14.4,48.44,0,2.45,0.55,0.59,Central-Central,12:48:00,338.6,338.6,91,91,84.5,D,Afternoon,1,80-100,1
3/4/15,14.4,48.44,0,2.45,0.55,0.59,Central-East,11:09:00,321,321,81,81,26.1,D,Morning,1,20-40,1
3/4/15,14.4,48.44,0,2.45,0.55,0.59,North-Central,12:49:00,333.2,328.65,88,85.5,65.7,D,Afternoon,4,60-80,1
3/5/15,18.02,38.56,0,2.13,0.55,0.59,North-Central,13:32:00,347.7,331.26666666666665,95,86.33333333333333,65.4,D,Afternoon,3,60-80,1
3/6/15,21.69,34.75,0,2.12,0.55,0.59,South-East,10:57:00,382.1,363.8333333333333,100,97,321.2,D,Morning,3,320-340,1
3/7/15,22.02,35.44,0,2.3,0.55,0.58,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/8/15,21.08,43.25,0,2.23,0.54,0.58,South-East,1:21:00,314.9,314.9,90,90,23.7,N,Early Morning,1,20-40,1
3/9/15,22.97,38.81,0,2.54,0.54,0.58,North-Central,12:27:00,364.1,335.77272727272725,100,87.72727272727273,102.8,D,Afternoon,11,100-120,1
3/9/15,22.97,38.81,0,2.54,0.54,0.58,North-East,14:07:00,334.3,334.3,86,86,25,D,Afternoon,1,20-40,1
3/10/15,22.62,35.38,0,2.08,0.54,0.57,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/11/15,13.94,67.75,0.36,1.81,0.54,0.57,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/12/15,22.97,53.94,0.01,1.87,0.53,0.57,North-Central,14:38:00,334.9,330.1,89,86,55.2,D,Afternoon,2,40-60,1
3/13/15,24.23,44.25,0,2.37,0.53,0.56,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
3/14/15,24.08,37.88,0,2,0.52,0.56,North-Central,14:25:00,348.4,348.4,89,89,61.1,D,Afternoon,1,60-80,1
3/15/15,23.84,41.25,0,1.98,0.52,0.56,No Fire,No Fire,0,0,0,0,0,No Fire,No Fire,0,No Fire,0
